country,year,country_code,school_life,employment
Aruba,2019,ABW,,
Afghanistan,2019,AFG,,18.75
Angola,2019,AGO,,70.62
Albania,2019,ALB,15.67173004,46.53
Andorra,2019,AND,,
United Arab Emirates,2019,ARE,,48.75
Argentina,2019,ARG,19.23380089,45.85
Armenia,2019,ARM,13.73165035,34.21
American Samoa,2019,ASM,,
Antigua and Barbuda,2019,ATG,,
Australia,2019,AUS,22.1906395,57.71
Austria,2019,AUT,16.39508057,52.76
Burundi,2019,BDI,,79.71
Belgium,2019,BEL,20.70512962,46.53
Benin,2019,BEN,,67.05
Bangladesh,2019,BGD,,33.99
Bulgaria,2019,BGR,14.17173004,48.46
"Bahamas, The",2019,BHS,,62.98
Bosnia and Herzegovina,2019,BIH,,30.43
Belarus,2019,BLR,,55.63
Belize,2019,BLZ,13.41656971,45.14
Bermuda,2019,BMU,,
Bolivia,2019,BOL,,61.44
Brazil,2019,BRA,16.03347969,47.3
Barbados,2019,BRB,,55.37
Brunei Darussalam,2019,BRN,14.5665102,51.45
Bhutan,2019,BTN,,57.66
Botswana,2019,BWA,,51.93
Central African Republic,2019,CAF,,61.76
Canada,2019,CAN,16.89101982,57.92
Switzerland,2019,CHE,16.40518951,59.94
Channel Islands,2019,CHI,,47.94
Chile,2019,CHL,16.96546936,47.65
China,2019,CHN,,58.16
Cote d'Ivoire,2019,CIV,9.742429733,42.9
Cameroon,2019,CMR,,68.6
"Congo, Dem. Rep.",2019,COD,,59.02
"Congo, Rep.",2019,COG,,60.65
Colombia,2019,COL,14.75887966,49.03
Comoros,2019,COM,,30.98
Cabo Verde,2019,CPV,,47.3
Costa Rica,2019,CRI,17.05911064,44.14
Cuba,2019,CUB,14.91845036,40.29
Curacao,2019,CUW,,
Cayman Islands,2019,CYM,,
Cyprus,2019,CYP,15.69172001,53.48
Czech Republic,2019,CZE,16.7543602,51.55
Germany,2019,DEU,17.00415993,54.12
Djibouti,2019,DJI,,45.03
Dominica,2019,DMA,,
Denmark,2019,DNK,19.34136963,54.83
Dominican Republic,2019,DOM,,49.06
Algeria,2019,DZA,,13.53
Ecuador,2019,ECU,14.94892979,52.63
"Egypt, Arab Rep.",2019,EGY,,14.52
Eritrea,2019,ERI,,67.14
Spain,2019,ESP,18.43042946,43.81
Estonia,2019,EST,16.76152992,54.67
Ethiopia,2019,ETH,,71.35
Finland,2019,FIN,19.85631943,52.29
Fiji,2019,FJI,,36.19
France,2019,FRA,16.15681076,46.41
Faroe Islands,2019,FRO,,
"Micronesia, Fed. Sts.",2019,FSM,,
