year,ed_lvl,female,male
2002,primary,68.63020575,75.7420783
2003,primary,78.68887568,83.69094324
2004,primary,76.98658104,81.66628689
2005,primary,81.96014332,86.48170524
2006,primary,70.22482724,76.78243884
2007,primary,78.43522988,82.55457477
2008,primary,77.83520714,82.93292378
2009,primary,79.20164223,84.63382842
2010,primary,82.4117255,86.93072965
2011,primary,78.09169612,83.56471577
2012,primary,78.32386697,82.58658666
2013,primary,80.48102768,84.67278063
2014,primary,79.11893623,83.65617869
2015,primary,83.51748719,86.39572246
2016,primary,84.07050379,87.75660467
2017,primary,80.93729655,84.89672443
2018,primary,76.53423899,80.35271037
2019,primary,85.98272589,89.39702596
2020,primary,87.85288599,90.69917583
2002,lower_secondary,43.72120437,49.95359924
2003,lower_secondary,56.45837042,61.8522377
2004,lower_secondary,61.1955153,65.05729154
2005,lower_secondary,66.85000604,71.71648124
2006,lower_secondary,54.40017195,59.5319825
2007,lower_secondary,62.88591829,66.13589463
2008,lower_secondary,60.86598822,65.81660083
2009,lower_secondary,65.64834558,70.77267526
2010,lower_secondary,67.12301393,71.86394986
2011,lower_secondary,65.93217304,70.93765965
2012,lower_secondary,64.49577517,68.83037207
2013,lower_secondary,68.30541454,72.39427524
2014,lower_secondary,68.02625108,72.35827427
2015,lower_secondary,71.82307902,74.93087756
2016,lower_secondary,71.40846752,75.17604149
2017,lower_secondary,70.34499491,73.36379623
2018,lower_secondary,64.97367417,67.93535963
2019,lower_secondary,74.65349193,77.94226125
2020,lower_secondary,76.56715483,79.33254015
2002,upper_secondary,35.55909219,40.03595677
2003,upper_secondary,44.2847971,47.99338436
2004,upper_secondary,44.91411987,49.92291962
2005,upper_secondary,49.1067294,53.6812796
2006,upper_secondary,43.86652434,47.69649316
2007,upper_secondary,49.24536301,52.12822792
2008,upper_secondary,48.27809866,51.93073046
2009,upper_secondary,52.67441987,57.20078901
2010,upper_secondary,53.68652548,56.87927334
2011,upper_secondary,53.64950006,58.0209834
2012,upper_secondary,51.15237479,54.36349146
2013,upper_secondary,54.87994323,58.36968869
2014,upper_secondary,53.82938696,57.49822959
2015,upper_secondary,58.02403395,60.7903249
2016,upper_secondary,58.88519754,61.9998797
2017,upper_secondary,57.04147856,59.53188559
2018,upper_secondary,51.45701117,53.13150632
2019,upper_secondary,60.432439,63.09234288
2020,upper_secondary,60.56351452,61.98461348
