country,year,country_code,gender_gap,completion_rate_female,completion_rate_male
Aruba,2014,ABW,0.737319946,101.5558701,100.8185501
Afghanistan,2019,AFG,-36.35633087,65.76151276,102.1178436
Angola,2011,AGO,-25.46239853,33.54656982,59.00896835
Albania,2020,ALB,4.943572998,103.3794937,98.43592072
Andorra,2021,AND,,,
United Arab Emirates,2020,ARE,-0.181816101,104.6186066,104.8004227
Argentina,2019,ARG,-0.728118896,98.17658234,98.90470123
Armenia,2020,ARM,1.738899231,94.09165955,92.35276031
American Samoa,2021,ASM,,,
Antigua and Barbuda,2018,ATG,5.467391968,98.96450043,93.49710846
Australia,2021,AUS,,,
Austria,2019,AUT,0.482170105,99.65705872,99.17488861
Azerbaijan,2020,AZE,1.958892822,100.5714417,98.61254883
Burundi,2021,BDI,8.239471436,57.07822037,48.83874893
Belgium,2021,BEL,,,
Benin,2020,BEN,-5.852775574,59.45426178,65.30703735
Burkina Faso,2020,BFA,8.932693481,69.43546295,60.50276947
Bangladesh,2010,BGD,7.710571289,71.76451874,64.05394745
Bulgaria,2019,BGR,-0.939323425,84.49420929,85.43353271
Bahrain,2019,BHR,-5.85546875,97.32035065,103.1758194
"Bahamas, The",2021,BHS,,,
Bosnia and Herzegovina,2018,BIH,-1.004875183,84.90886688,85.91374207
Belarus,2018,BLR,0.05267334,104.6449509,104.5922775
Belize,2020,BLZ,-0.083251953,104.4137573,104.4970093
Bermuda,2013,BMU,-1.419517517,97.5138092,98.93332672
Bolivia,2019,BOL,0.054016113,91.63172913,91.57771301
Brazil,2021,BRA,,,
Barbados,2020,BRB,5.361206055,98.75959778,93.39839172
Brunei Darussalam,2020,BRN,-0.420310974,104.7413788,105.1616898
Bhutan,2020,BTN,11.89408112,88.11412811,76.220047
Botswana,2015,BWA,1.161384583,95.14150238,93.9801178
Central African Republic,2017,CAF,-19.80257797,44.77569962,64.57827759
Canada,2021,CAN,,,
Switzerland,2019,CHE,1.846160889,97.30728149,95.46112061
Channel Islands,2021,CHI,,,
Chile,2019,CHL,-1.087127686,97.69400024,98.78112793
China,2021,CHN,,,
Cote d'Ivoire,2020,CIV,-6.745361328,77.12010193,83.86546326
Cameroon,2019,CMR,-6.220180511,62.36500168,68.58518219
